id;name;gender;birth_year;age;day;condition_day;condition;trial;left;right;side.chosen;side.chosen.reli;repetition;repetition.reason;food.received;food.received.reli;food.remaining;food.remaining.reli;searched;searched.reli;seconds.until.searched;seconds.until.searched.reli;value.remaining.seen;value.remaining.seen.reli;turned.away;turned.away.reli;time.from.last.gaze.to.back.of.head.to.camera;time.from.last.gaze.to.back.of.head.to.camera.reli;emotional.displays;comments;;;;;
13;Asega;male;1998;23;7;no-choice_2;no-choice;3;none;high;right;;;;high;;none;;yes;;6;;worse;;yes;;2;;no;;;;;;
13;Asega;male;1998;23;7;no-choice_2;no-choice;4;low;low;right;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;7;no-choice_2;no-choice;5;high;high;right;;;;high;;high;;yes;;1;;same;;yes;;1;;no;Gutes Video;;;;;
13;Asega;male;1998;23;7;no-choice_2;no-choice;6;none;none;right;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;1;high;low;right;;;;low;;high;;yes;;3;;better;;yes;;5;;no;;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;2;none;low;left;;;;none;;low;;no;;NA;;NA;;NA;;NA;;NA;rolled around for a little bit, Gutes Video;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;3;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;4;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;5;high;none;left;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
13;Asega;male;1998;23;9;no-choice_3;no-choice;6;low;high;left;;;;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;1;high;high;right;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;2;none;low;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;3;high;none;right;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;4;low;low;left;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;5;high;none;right;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;1;choice_1;choice;6;none;none;left;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;1;high;low;right;;yes;experimenter error;low;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;2;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;3;none;high;right;;;;high;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;4;high;low;left;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;5;none;low;right;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;3;choice_2;choice;6;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;1;low;low;right;;;;low;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;2;high;high;right;;;;high;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;3;low;none;left;;;;low;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;4;none;high;left;;;;none;;high;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;5;low;high;right;;;;high;;low;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
2;Baluku;male;1998;23;5;choice_3;choice;6;none;none;right;;;;none;;none;;no;;NA;;NA;;NA;;NA;;NA;;;;;;
